rank,car_id,score,Year,Make,Model
1,128,128,2010,Infiniti,G37
2,124,124,2015,Jeep,Wrangler
3,15,120,2014,Audi,S4
4,113,116,2012,Acura,"Tsx sportwagon"
5,83,112,2014,Honda,Accord
6,112,110,2008,Acura,TL
7,65,106,2009,Honda,Fit
8,50,102,2015,Acura,TLX
8,31,102,2007,Honda,Fit
8,91,102,2010,Mitsu,Lancer
9,216,96,2007,Chrystler,300
10,228,92,2010,Nissan,370
10,175,92,2006,Honda,Civic
10,126,92,2010,Volkswagen,Eos
10,13,92,2016,Honda,"Civic 1.5t"
11,127,86,2013,Acura,Tsx
11,63,86,2010,Honda,Civic
12,161,84,2012,Nissan,370z
12,3,84,2011,Nissan,370
13,180,82,2011,Volkswagen,Gti
14,57,80,2015,Scion,Frs
15,25,78,2012,Mercedes,C250
15,106,78,2007,Acura,"Tl type s"
16,36,74,2016,Subaru,WRX
17,178,72,2009,Honda,Oddesy
17,39,72,2011,Honda,Civic
17,103,72,2010,Acura,Tsx
18,84,70,2012,Mercedes,Cl63amg
19,33,68,2015,Subaru,Sti
20,30,66,2012,Hyundai,Celoster
20,123,66,2006,Lexus,Sc430
20,1051,66,2006,Acura,Tsx
21,218,64,2010,Chevy,Camaro
21,41,64,2012,Acura,Tsx
21,158,64,2007,Nissan,350z
22,48,62,2015,Acura,TLX
22,21,62,2009,Subaru,WRX
22,23,62,1998,Subaru,Legacy
22,12,62,1990,Nissan,240
22,38,62,2017,Hyundai,"Elantra sport"
23,35,60,2016,Honda,Civic
23,53,60,2013,Subaru,WRX
24,142,58,1993,Toyota,Supra
24,110,58,2011,Toyota,Camry
25,156,56,2014,Volkswagen,Gli
25,115,56,2001,Honda,Crv
26,43,54,2011,Toyota,"4 Runner"
26,37,54,2015,Subaru,Sti
26,137,54,2017,Ford,"Focus rs"
26,6,54,2016,Volkswagen,"Golf r"
27,134,52,2013,Subaru,WRX
27,225,52,2016,Acura,TLX
28,51,50,2015,Subaru,WRX
28,5,50,2003,Acura,Rsx
28,170,50,2014,Chevy,Cruze
28,189,50,2012,Toyota,"Fj cruiser"
29,88,48,2008,Honda,Accord
29,104,48,2014,Honda,"Civic si"
29,52,48,2007,Mazda,"Speed 3"
29,211,48,2004,Acura,Tsx
30,232,46,2018,Subaru,WRX
31,8,44,1991,Nissan,Skyline
31,140,44,1995,Mitsu,Evo8
31,121,44,2012,Acura,TL
31,118,44,1993,Honda,Civic
31,9,44,1996,Nissan,240
31,122,44,2011,Infiniti,M37s
32,85,42,2017,Honda,Accord
32,153,42,2017,Subaru,Brz
32,56,42,2009,Volkswagen,Jetta
32,49,42,1997,Acura,Integra
32,45,42,2006,Acura,TL
33,222,40,2015,Lexus,Is250
33,207,40,1993,Honda,"Civic eG"
33,176,40,2014,Mitsu,Lancer
33,44,40,2018,Honda,"Civic si"
33,19,40,2001,Mitsu,Evo7
34,20,38,2009,Infiniti,G37
34,99,38,2014,Honda,"Civic si"
34,145,38,1990,Volkswagen,Gti
34,179,38,2004,Volkswagen,R32
34,18,38,2015,Audi,S3
35,200,36,2016,Subaru,WRX
35,162,36,2014,Nissan,370z
35,78,36,2015,Mazda,6
36,10,34,2001,Nissan,S15
36,17,34,2016,Mercedes,C43
37,4341,32,1992,Nissan,Rps13
37,46,32,2008,Volkswagen,R32
37,24,32,2013,Subaru,BRZ
38,7,30,2014,Nissan,Sentra
38,181,30,2003,Volkswagen,Gti
38,120,30,2014,Ford,"Focus st"
38,92,30,2017,Hyundai,"Elantra sport"
38,11,30,1991,Nissan,Skyline
39,59,28,2012,Volkswagen,Golf
39,116,28,2008,Audi,A4
39,238,28,1982,Volkswagen,Rabbit
39,144,28,2016,Volkswagen,Gti
40,14,26,1990,Nissan,Skyline
40,98,26,2012,Mercedes,C63
40,114,26,2010,Volkswagen,Gti
40,219,26,2016,Ford,"Focus rs"
40,141,26,1993,Mazda,Miata
40,187,26,2007,Subaru,Legacy
40,242,26,2014,Nissan,Maxima
41,2,24,2016,Bmw,M2
41,130,24,2016,Honda,"Civic si"
41,241,24,2007,Toyota,Camry
41,22,24,2007,Honda,Civic
41,81,24,2016,Volkswagen,GTI
42,163,22,2013,Mitsu,Ralliart
42,93,22,2005,Acura,TL
42,150,22,2006,Nissan,350z
42,100,22,2006,Volvo,S60r
42,172,22,2014,Bmw,4
43,167,20,2016,Ford,Mystang
43,230,20,2004,Acura,Tsx
43,182,20,2012,Volkswagen,Cc
43,235,20,2013,Scion,Frs
44,79,18,1993,Mazda,Miata
44,226,18,2008,Honda,Accord
44,34,18,2010,Honda,Fit
45,183,16,2005,Volkswagen,Jetta
45,89,16,2014,Honda,"Civic si"
46,159,14,2013,Hyundai,"Gen coupe"
46,67,14,2015,Subaru,Sti
46,108,14,2013,Audi,S4
46,220,14,2004,Audi,A4
46,186,14,2012,Volkswagen,Gli
46,4,14,2007,Honda,Civic
46,193,14,2014,Nissan,Ssntra
47,177,12,2005,Volkswagen,"Jetta gli"
47,95,12,2004,Infiniti,G35
47,76,12,2005,Subaru,Sti
48,68,10,2013,Nissan,Altima
48,102,10,2015,Honda,Accord
48,111,10,2007,Bmw,328i
48,243,10,2008,Toyota,Matrix
48,16,10,2008,Nissan,350z
48,96,10,2017,Volkswagen,Gti
48,138,10,1990,Mazda,Miata
48,94,10,2004,Volkswagen,Gti
48,190,10,1995,Lexus,Sc300
48,237,10,1987,Volkswagen,Jetta
49,184,8,2010,Volkswagen,Cc
49,42,8,2001,Dodge,Viper
49,28,8,1995,Bmw,318xi
49,185,8,2013,Volkswagen,Jett
49,74,8,2015,Honda,Accord
49,69,8,2018,Subaru,WRX
49,86,8,1996,Volkswagen,Jetta
50,1,6,2012,Subaru,WRX
50,75,6,2012,Subaru,WRX
50,212,6,2001,Lexus,Is300
50,40,6,2007,Subaru,Legacy
50,71,6,2008,Acura,TL
50,64,6,2004,Subaru,Forester
51,66,4,2010,Volkswagen,Gti
51,72,4,2016,Honda,"Civic si"
51,174,4,2006,Acura,Rsx
52,197,2,2010,Audi,A4
53,101,0,2014,Honda,Civic
53,0,0,2015,Chevy,Camaro
53,70,0,2014,Honda,Civic
